"Name","Bild","Kanton","Bisher/Neu","Beruf","Wohnort","Alter","Partei","Rat"
"Lars Aeschbacher","https://164.ch/grafiken_wahlen2023/Nationalrat/BE_NR_JMitte_Aeschbacher_Lars.jpg","Bern","Neu","Jur. Mitarbeiter, Student Rechtswissenschaften","Büetigen",25,"Mitte","Nationalrat"
"Georges Davatz","https://164.ch/grafiken_wahlen2023/Nationalrat/SO_NR_SVP_Davatz_Georges.jpg","Solothurn","Neu","Sekretär","Messen",68,"SVP","Nationalrat"
"Anna-Béatrice Schmaltz","https://164.ch/grafiken_wahlen2023/Nationalrat/ZH_NR_Gruene_Schmaltz_Anna-Beatrice.jpg","Zürich","Neu","Gemeinderätin, Projektleiterin Gewaltprävention, Sozialarbeiterin","Zürich",31,"Grüne","Nationalrat"
"Jannis Nikos Vamvas","https://164.ch/grafiken_wahlen2023/Nationalrat/AG_NR_GLP_Vamvas_Jannis-Nikos.jpg","Aargau","Neu","Dr. phil., KI-Spezialist","Aarau",32,"GLP","Nationalrat"
"Marco Muntwyler","https://164.ch/grafiken_wahlen2023/Nationalrat/AG_NR_JEVP_Muntwyler_Marco.jpg","Aargau","Neu","Geschäftsführer bei einer NGO, MLaw UZH","Wettingen",35,"EVP","Nationalrat"
"Pierre-André Page","https://164.ch/grafiken_wahlen2023/Nationalrat/FR_NR_SVP_Page_Pierre-Andre.jpg","Freiburg","Bisher","Conseiller national, maître agriculteur / Nationalrat, Meister Landwirt","Châtonnaye",63,"SVP","Nationalrat"
"Mickaël Maeder","https://164.ch/grafiken_wahlen2023/Nationalrat/BE_NR_JEVP_Maeder_Mickael.jpg","Bern","Neu","Agent de détention","Biel/Bienne",33,"EVP","Nationalrat"
"Urs Plüss","https://164.ch/grafiken_wahlen2023/Nationalrat/AG_NR_EVP_Pluess_Urs.jpg","Aargau","Neu","Geschäftsführer, Grossrat, Softwareingenieur","Zofingen",53,"EVP","Nationalrat"
"Dusan Jaksic","https://164.ch/grafiken_wahlen2023/Nationalrat/SG_NR_JMitte_Jaksic_Dusan.jpg","St. Gallen","Neu","Co-Präsident Die Mitte Werdenberg, Praktikant Public Affairs, Student Internationale Beziehungen HSG","Haag-Sennwald",23,"Mitte","Nationalrat"
"Carolynn Handschin-Tanner","https://164.ch/grafiken_wahlen2023/Nationalrat/AG_NR_Mitte_Handschin_Carolynn.jpg","Aargau","Neu","Fachlehrerin, Gemeinderätin","Muri",48,"Mitte","Nationalrat"
"Karin Kälin","https://164.ch/grafiken_wahlen2023/Nationalrat/SO_NR_SP_Kaelin_Karin.jpg","Solothurn","Neu","Dr. phil. II, Molekularbiologin","Rodersdorf",61,"SP","Nationalrat"
"Markus Hiltebrand","https://164.ch/grafiken_wahlen2023/Nationalrat/BE_NR_EVP_Hiltebrand_Markus.jpg","Bern","Neu","Gemeinderat, Schreiner Techniker TS","Lotzwil",54,"EVP","Nationalrat"
"Ana Fontes Martins","https://164.ch/grafiken_wahlen2023/Nationalrat/FR_NR_GLP_Fontes-Martins_Ana.jpg","Freiburg","Neu","conseillère générale / Beinstandin für Kinderschutz, Curatrice pour la protection de l'enfance, Generalrätin","Fribourg",32,"GLP","Nationalrat"
"Olivier Chanson","https://164.ch/grafiken_wahlen2023/Nationalrat/ZH_NR_JSVP_Chanson_Olivier.jpg","Zürich","Neu","Videoproduzent","Urdorf",27,"SVP","Nationalrat"
"Roger Keller","https://164.ch/grafiken_wahlen2023/Nationalrat/SG_NR_EVP_Keller_Roger.jpg","St. Gallen","Neu","Co-Präsident EVP Toggenburg, Regionalverkaufsleiter","Stein",54,"EVP","Nationalrat"
"Maurizio Simona","https://164.ch/grafiken_wahlen2023/Nationalrat/BE_NR_Mitte_Simona_Maurizio.jpg","Bern","Neu","pensionierter Übersetzer","Urtenen-Schönbühl",72,"Mitte","Nationalrat"
"Thomas Lüthi","https://164.ch/grafiken_wahlen2023/Nationalrat/SO_NR_GLP_Luethi_Thomas.jpg","Solothurn","Neu","Stv. Geschäftsführer/Bauführer Gartenbau","Hägendorf",45,"GLP","Nationalrat"
"Rolf Jäggi","https://164.ch/grafiken_wahlen2023/Nationalrat/AG_NR_SVP_Jaeggi_Rolf.jpg","Aargau","Neu","Grossrat, Leiter Werkschutz Kernkraftwerk Beznau","Egliswil",54,"SVP","Nationalrat"
"Facundo Zimmerli","https://164.ch/grafiken_wahlen2023/Nationalrat/ZH_NR_Mitte_Zimmerli_Facundo.jpg","Zürich","Neu","Projektleiter KMU - Beratung","Stadel",22,"Mitte","Nationalrat"
"Léonore Porchet","https://164.ch/grafiken_wahlen2023/Nationalrat/VD_NR_Gruene_Porchet_Leonore.jpg","Waadt","Bisher","Codirectrice BDFIL","Lausanne",34,"Grüne","Nationalrat"
"Stephan Lehmann-Maldonado","https://164.ch/grafiken_wahlen2023/Nationalrat/AG_NR_engagiert._Lehmann-Maldonado_Stephan.jpg","Aargau","Neu","Geschäftsführer, Unternehmer","Bremgarten",50,"weitere","Nationalrat"
"Mauro Bino","https://164.ch/grafiken_wahlen2023/Nationalrat/AG_NR_Mitte_Bino_Mauro.jpg","Aargau","Neu","pensionierter Dr. med. Arzt","Schöftland",65,"Mitte","Nationalrat"
"Rolf Walser","https://164.ch/grafiken_wahlen2023/Nationalrat/AG_NR_SP_Walser_Rolf.jpg","Aargau","Neu","Grossrat, Schulleiter, Stadtrat Bau/Energie","Aarburg",55,"SP","Nationalrat"
"Jan Köbeli","https://164.ch/grafiken_wahlen2023/Nationalrat/BE_NR_SP_Koebeli_Jan.jpg","Bern","Neu","Professioneller Schiedsrichter, Sportmanager","Muri",36,"SP","Nationalrat"
"Simon Biner","https://164.ch/grafiken_wahlen2023/Nationalrat/VS_NR_JMitte_Biner_Simon.jpg","Wallis","Neu","Elektroinstallateur EFZ","Zermatt",23,"Mitte","Nationalrat"
"Benjamin Frei","https://164.ch/grafiken_wahlen2023/Nationalrat/ZH_NR_JF_Frei_Benjamin.jpg","Zürich","Neu","Software-Entwickler","Winterthur",25,"FDP","Nationalrat"
"Benjamin Auer","https://164.ch/grafiken_wahlen2023/Nationalrat/SG_NR_JGLP_Auer_Benjamin.jpg","St. Gallen","Neu","Präsident GLP Werdenberg, Projektleiter Informatik, Student Betriebswirtschaftslehre HSG","Oberschan",23,"GLP","Nationalrat"
"Carine Ceppi","https://164.ch/grafiken_wahlen2023/Nationalrat/VS_NR_GLP_Ceppi_Carine.jpg","Wallis","Neu","Studentin in Geographie","Steg",23,"GLP","Nationalrat"
"Orun Kumar Palit","https://164.ch/grafiken_wahlen2023/Nationalrat/AG_NR_GLP_Palit_Orun-Kumar.jpg","Aargau","Neu","Dr. oec. HSG, Einwohnerrat, Ökonom","Wettingen",58,"GLP","Nationalrat"
"Tim Spicher","https://164.ch/grafiken_wahlen2023/Nationalrat/FR_NR_GLP_Spicher_Tim.jpg","Freiburg","Neu","Conseiller technique gazon et végétalisation / Fachberater Rasen und Begrünung","St. Antoni",33,"GLP","Nationalrat"
"Simon Meyer","https://164.ch/grafiken_wahlen2023/Nationalrat/LU_NR_Gruene_Meyer_Simon.jpg","Luzern","Neu","Fotograf, Kulturschaffender","Beromünster",55,"Grüne","Nationalrat"
"Lea Bégue","https://164.ch/grafiken_wahlen2023/Nationalrat/SO_NR_JGruene_Begue_Lea.jpg","Solothurn","Neu","dipl. Pflegefachfrau HF","Wangen bei Olten",23,"Grüne","Nationalrat"
"Cedric Meyer","https://164.ch/grafiken_wahlen2023/Nationalrat/AG_NR_JSVP_Meyer_Cedric.jpg","Aargau","Neu","GL-Assistent, Student Wirtschaftswissenschaften","Rheinfelden",21,"SVP","Nationalrat"
"Silvio Schmid","https://164.ch/grafiken_wahlen2023/Nationalrat/GR_NR_SVP_Schmid_Silvio.jpg","Graubünden","Neu","GPK Gemeinde Tujetsch, Tourismusexperte","Sedrun",64,"SVP","Nationalrat"
"Jessica Sarah Sumi","https://164.ch/grafiken_wahlen2023/Nationalrat/BL_NR_Mitte_Sumi_Jessica-Sarah.jpg","Basel-Landschaft","Neu","Detailhandelsfachfrau, Leiterin Outlet","Rünenberg",34,"Mitte","Nationalrat"
"Léonie Schubiger","https://164.ch/grafiken_wahlen2023/Nationalrat/SG_NR_JUSO_Schubiger_Leonie.jpg","St. Gallen","Neu","Campaignerin SPSG","St.Gallen",20,"SP","Nationalrat"
