"Name","Bild","Kanton","Bisher/Neu","Beruf","Wohnort","Alter","Partei","Rat"
"Heidi Güttinger","https://164.ch/grafiken_wahlen2023/Nationalrat/TG_NR_SP_Guettinger_Heidi.jpg","Thurgau","Neu","Rentnerin","Weinfelden",69,"SP","Nationalrat"
"Linda Müller","https://164.ch/grafiken_wahlen2023/Nationalrat/ZH_NR_JGruene_Mueller_Linda.jpg","Zürich","Neu","Co-Präsidentin Junge Grüne Zürich, Studentin Umweltnaturwissenschaften","Zürich",23,"Grüne","Nationalrat"
"Celine Schneider","https://164.ch/grafiken_wahlen2023/Nationalrat/ZH_NR_Mitte_Schneider_Celine.jpg","Zürich","Neu","Ärztin und Doktorandin","Zürich",28,"Mitte","Nationalrat"
"Meo Suter","https://164.ch/grafiken_wahlen2023/Nationalrat/BL_NR_JUSO_Suter_Meo.jpg","Basel-Landschaft","Neu","Automatiker in Ausbildung","Muttenz",18,"SP","Nationalrat"
"Mathias Rabl","https://164.ch/grafiken_wahlen2023/Nationalrat/TG_NR_JGLP_Rabl_Mathias.jpg","Thurgau","Neu","Finanzberater","Amriswil",31,"GLP","Nationalrat"
"Loris Niethammer","https://164.ch/grafiken_wahlen2023/Nationalrat/GR_NR_JGruene_Niethammer_Loris.jpg","Graubünden","Neu","Student Mathematik","Chur",20,"Grüne","Nationalrat"
"Lukas Madörin","https://164.ch/grafiken_wahlen2023/Nationalrat/TG_NR_EDU_Madoerin_Lukas.jpg","Thurgau","Neu","Unternehmer","Weinfelden",43,"EDU","Nationalrat"
"Merve Kutay","https://164.ch/grafiken_wahlen2023/Nationalrat/AG_NR_Mitte_Kutay_Merve.jpg","Aargau","Neu","Projektleiterin Marketing","Baden",45,"Mitte","Nationalrat"
"Sandro Morelli","https://164.ch/grafiken_wahlen2023/Nationalrat/SG_NR_Mitte_Morelli_Sandro.jpg","St. Gallen","Neu","Präsident Die Mitte Linth, Rechtsanwalt und öffentlicher Notar","Benken",34,"Mitte","Nationalrat"
"Yannick Gloor","https://164.ch/grafiken_wahlen2023/Nationalrat/BE_NR_EVP_Gloor_Yannick.jpg","Bern","Neu","Rechtsanwalt Mlaw, Stadtrat","Biel/Bienne",33,"EVP","Nationalrat"
"Caroline Bartholet-Schwarzmann","https://164.ch/grafiken_wahlen2023/Nationalrat/SG_NR_FDP_Bartholet-Schwarzmann_Caroline.jpg","St. Gallen","Neu","Eidg.dipl. Drogistin, Gemeindepräsidentin, Kantonsrätin","Niederbüren",54,"FDP","Nationalrat"
"Hannes Streif","https://164.ch/grafiken_wahlen2023/Nationalrat/AG_NR_GLP_Streif_Hannes.jpg","Aargau","Neu","Einwohnerrat, Rechtsanwalt","Wettingen",43,"GLP","Nationalrat"
"Dominik Alge","https://164.ch/grafiken_wahlen2023/Nationalrat/SG_NR_Mitte_Alge_Dominik.jpg","St. Gallen","Neu","Dipl. Techniker HF Maschinenbau, Mitglied GPK Politische Gemeinde Au, Verwaltungsrat","Au",34,"Mitte","Nationalrat"
"Mary Rauber","https://164.ch/grafiken_wahlen2023/Nationalrat/ZH_NR_EVP_Rauber_Mary.jpg","Zürich","Neu","Sozialpädagogin i. A.","Uster",53,"EVP","Nationalrat"
"Barbara Kunz-Steffen","https://164.ch/grafiken_wahlen2023/Nationalrat/BE_NR_Mitte_Kunz-Steffen_Barbara.jpg","Bern","Neu","Bäuerin FA, Gärtnerin","Ersigen",51,"Mitte","Nationalrat"
"Thomas Bonjour","https://164.ch/grafiken_wahlen2023/Nationalrat/VD_NR_JGLP_Bonjour_Thomas.jpg","Waadt","Neu","Analyste financier","Lausanne",30,"GLP","Nationalrat"
"Janis Rieder","https://164.ch/grafiken_wahlen2023/Nationalrat/VS_NR_JF_Rieder_Janis.jpg","Wallis","Neu","Student","Naters",25,"FDP","Nationalrat"
"Domenic Schneider","https://164.ch/grafiken_wahlen2023/Nationalrat/BL_NR_GLP_Schneider_Domenic.jpg","Basel-Landschaft","Neu","Bürgerrat, Einwohnerrat, Head of Distribution","Liestal",56,"GLP","Nationalrat"
"Simon Binder","https://164.ch/grafiken_wahlen2023/Nationalrat/AG_NR_Mitte_Binder_Simon.jpg","Aargau","Neu","Einwohnerrat, Jurist","Baden",37,"Mitte","Nationalrat"
"Marina Bruggmann","https://164.ch/grafiken_wahlen2023/Nationalrat/TG_NR_SP_Bruggmann_Marina.jpg","Thurgau","Neu","GL Hospizdienst TG, Parteipräsidentin","Salmsach",48,"SP","Nationalrat"
"René Zimmermann","https://164.ch/grafiken_wahlen2023/Nationalrat/ZG_NR_Aufrecht_Zimmermann_Rene.jpg","Zug","Neu","Elektromonteur","Rotkreuz",54,"weitere","Nationalrat"
"Lars Valentin Bossi","https://164.ch/grafiken_wahlen2023/Nationalrat/GR_NR_SVP_Bossi_Lars.jpg","Graubünden","Neu","Gymnasiast","Trimmis",19,"SVP","Nationalrat"
"Maria Näf","https://164.ch/grafiken_wahlen2023/Nationalrat/TG_NR_JMitte_Naef_Maria.jpg","Thurgau","Neu","Wirtschaftsinformatikerin","Weinfelden",24,"Mitte","Nationalrat"
"Hugo Ley","https://164.ch/grafiken_wahlen2023/Nationalrat/BL_NR_Mitte_Ley_Hugo.jpg","Basel-Landschaft","Neu","eidg. dipl. Spenglermeister in Pension","Oberwil",72,"Mitte","Nationalrat"
"Sina Fahrni","https://164.ch/grafiken_wahlen2023/Nationalrat/BE_NR_GLP_Fahrni_Sina.jpg","Bern","Neu","Architektin","Bern",28,"GLP","Nationalrat"
"Gerd Lutters","https://164.ch/grafiken_wahlen2023/Nationalrat/AG_NR_engagiert._Lutters_Gerd.jpg","Aargau","Neu","Physiker","Kölliken",61,"weitere","Nationalrat"
"Franziska Rentsch","https://164.ch/grafiken_wahlen2023/Nationalrat/BE_NR_EVP_Rentsch-Graber_Franziska.jpg","Bern","Neu","Pflegefachfrau HF","Teuffenthal b. Thun",54,"EVP","Nationalrat"
"Hanspeter Wilhelm","https://164.ch/grafiken_wahlen2023/Nationalrat/ZH_NR_EVP_Wilhelm_Hanspeter.jpg","Zürich","Neu","Dipl. Ing. ETH., Ingenieur, Projektleiter Energie","Steinmaur",44,"EVP","Nationalrat"
"Daniel Kast","https://164.ch/grafiken_wahlen2023/Nationalrat/BE_NR_Mitte_Kast_Daniel.jpg","Bern","Neu","Biologe, Schulleiter","Bern",58,"Mitte","Nationalrat"
"Christian Eibel","https://164.ch/grafiken_wahlen2023/Nationalrat/ZH_NR_Libertaere-Partei_Eibel_Christian.jpg","Zürich","Neu","Betriebsökonom HWV, COO","Affoltern am Albis",57,"weitere","Nationalrat"
"Theres Seiler","https://164.ch/grafiken_wahlen2023/Nationalrat/ZH_NR_EVP_Seiler_Theres.jpg","Zürich","Neu","Lehrerin, Schulleiterin","Urdorf",52,"EVP","Nationalrat"
"Barbara Leibundgut","https://164.ch/grafiken_wahlen2023/Nationalrat/SO_NR_FDP_Leibundgut_Barbara.jpg","Solothurn","Neu","Gemeindepräsidentin","Bettlach",61,"FDP","Nationalrat"
"Jürg Mosimann","https://164.ch/grafiken_wahlen2023/Nationalrat/BE_NR_Mitte_Mosimann_Juerg.jpg","Bern","Neu","Bio-Landwirt","Oberwangen",52,"Mitte","Nationalrat"
"Urs Wermuth","https://164.ch/grafiken_wahlen2023/Nationalrat/BE_NR_Mitte_Wermuth_Urs.jpg","Bern","Neu","Leiter Schutz und Rettung Köniz, MAS PH Luzern","Gümligen",52,"Mitte","Nationalrat"
"Samuel Hossmann","https://164.ch/grafiken_wahlen2023/Nationalrat/BE_NR_EDU_Hossmann_Samuel.jpg","Bern","Neu","Techniker HF","Oberdiessbach",34,"EDU","Nationalrat"
"Andreas Moosheer","https://164.ch/grafiken_wahlen2023/Nationalrat/AG_NR_EVP_Moosheer_Andreas.jpg","Aargau","Neu","Sozialarbeiter, Theologe","Frick",65,"EVP","Nationalrat"
"Jérôme Ghedira","https://164.ch/grafiken_wahlen2023/Nationalrat/VD_NR_PdA_Ghedira_Jerome.jpg","Waadt","Neu","Pilote de train","Corsier-sur-Vevey",40,"PdA","Nationalrat"
"Ulrich (Ueli) Fisch","https://164.ch/grafiken_wahlen2023/Nationalrat/TG_NR_GLP_Fisch_Ueli.jpg","Thurgau","Neu","Betriebsökonom FH, Unternehmer","Ottoberg",61,"GLP","Nationalrat"
"Laura Di Corcia","https://164.ch/grafiken_wahlen2023/Nationalrat/TI_NR_SP_Di-Corcia_Laura.jpg","Tessin","Neu","Autrice","Vacallo",41,"SP","Nationalrat"
"Alessandro Ferrugia","https://164.ch/grafiken_wahlen2023/Nationalrat/AG_NR_GLP_Ferrugia_Alessandro.jpg","Aargau","Neu","Betriebswirt, Finanzallrounder","Berikon",44,"GLP","Nationalrat"
"Nina Laager","https://164.ch/grafiken_wahlen2023/Nationalrat/GE_NR_JGruene_Laager_Nina.jpg","Genf","Neu","Interprète de conférence","Carouge (GE)",28,"Grüne","Nationalrat"
"Miriam Meier","https://164.ch/grafiken_wahlen2023/Nationalrat/AG_NR_JEVP_Meier_Miriam.jpg","Aargau","Neu","Hausfrau, Konditorin-Confiseurin, Mutter","Frick",31,"EVP","Nationalrat"
"Andrea de Meuron","https://164.ch/grafiken_wahlen2023/Nationalrat/BE_NR_Gruene_de-Meuron_Andrea.jpg","Bern","Neu","Gemeinderätin, Grossrätin","Thun",50,"Grüne","Nationalrat"
"Vera Becker","https://164.ch/grafiken_wahlen2023/Nationalrat/BE_NR_JGruene_Becker_Vera.jpg","Bern","Neu","Generalsekretärin Junge Grüne Schweiz","Bern",25,"Grüne","Nationalrat"
"Peter Hediger","https://164.ch/grafiken_wahlen2023/Nationalrat/AG_NR_Mitte_Hediger_Peter.jpg","Aargau","Neu","pensionierter Postbeamter","Unterkulm",65,"Mitte","Nationalrat"
"Alex Vaida","https://164.ch/grafiken_wahlen2023/Nationalrat/AG_NR_Mitte_Vaida_Alexander.jpg","Aargau","Neu","dipl. Physiotherapeut FH","Aarau",55,"Mitte","Nationalrat"
"Bettina Gauch","https://164.ch/grafiken_wahlen2023/Nationalrat/BE_NR_JEVP_Gauch_Bettina.jpg","Bern","Neu","Sozialarbeiterin BSc","Hünibach",33,"EVP","Nationalrat"
"Lukas Lütolf","https://164.ch/grafiken_wahlen2023/Nationalrat/SO_NR_JGruene_Luetolf_Lukas.jpg","Solothurn","Neu","Mitglied Gemeindeparlament, Student Geografie/Politologie","Olten",22,"Grüne","Nationalrat"
"Diane Hodel","https://164.ch/grafiken_wahlen2023/Nationalrat/VD_NR_JGruene_Hodel_Diane.jpg","Waadt","Neu","Etudiante en droit","Fiez",24,"Grüne","Nationalrat"
"Harry Lütolf","https://164.ch/grafiken_wahlen2023/Nationalrat/AG_NR_Mitte_Luetolf_Harry.jpg","Aargau","Neu","Einwohnerrat, Grossrat, lic. iur., Verlagsredaktor","Wohlen",53,"Mitte","Nationalrat"
"Micha Jona Müller","https://164.ch/grafiken_wahlen2023/Nationalrat/AG_NR_Mitte_Mueller_Micha.jpg","Aargau","Neu","Betriebsökonom, Ethikdozent, IT-Untern., Mediator","Aarau",34,"Mitte","Nationalrat"
"Carola Arn","https://164.ch/grafiken_wahlen2023/Nationalrat/ZH_NR_EVP_Arn_Carola.jpg","Zürich","Neu","Kauffrau","Rüti",59,"EVP","Nationalrat"
"Micha Amstad","https://164.ch/grafiken_wahlen2023/Nationalrat/ZH_NR_SP_Amstad_Micha.jpg","Zürich","Neu","Konstrukteur, Zentralsekretär VPOD","Zürich",31,"SP","Nationalrat"
"Matthias Haller","https://164.ch/grafiken_wahlen2023/Nationalrat/BE_NR_JEVP_Haller_Matthias.jpg","Bern","Neu","Gelernter Velomechaniker, Student Mathematik","Ittigen",23,"EVP","Nationalrat"
"Hanna Läng-Studer","https://164.ch/grafiken_wahlen2023/Nationalrat/AG_NR_EVP_Laeng-Studer_Hanna.jpg","Aargau","Neu","Eh. Pfarrerin EMK, Erwachsenenbildnerin","Wettingen",68,"EVP","Nationalrat"
"Lukas Blaser Nyfeler","https://164.ch/grafiken_wahlen2023/Nationalrat/BL_NR_EVP_Blaser_Lukas.jpg","Basel-Landschaft","Neu","BSc Systemtechnik, Polymechaniker","Arlesheim",27,"EVP","Nationalrat"
"Barbara Stotzer-Wyss","https://164.ch/grafiken_wahlen2023/Nationalrat/BE_NR_EVP_Stotzer-Wyss_Barbara.jpg","Bern","Neu","Gemeindevizepräsidentin, Grossrätin","Büren an der Aare",48,"EVP","Nationalrat"
"Mirjam Frey","https://164.ch/grafiken_wahlen2023/Nationalrat/AG_NR_engagiert._Frey_Mirjam.jpg","Aargau","Neu","dipl. Pflegefachfrau FH","Buchs",26,"weitere","Nationalrat"
"Micha Lehmann","https://164.ch/grafiken_wahlen2023/Nationalrat/FR_NR_EVP_Lehmann_Micha.jpg","Freiburg","Neu","Technologue en produits laitiers / Milchtechnologe","Fräschels",19,"EVP","Nationalrat"
"Johanna Bartholdi","https://164.ch/grafiken_wahlen2023/Nationalrat/SO_NR_FDP_Bartholdi_Johanna.jpg","Solothurn","Neu","Gemeindepräsidentin","Egerkingen",72,"FDP","Ständerat"
"Olivia Staub","https://164.ch/grafiken_wahlen2023/Nationalrat/ZH_NR_SP_Staub_Olivia.jpg","Zürich","Neu","Barkeeperin, Kommunikationsverantwortliche","Winterthur",30,"SP","Ständerat"
"Isabelle Pasquier-Eichenberger","https://164.ch/grafiken_wahlen2023/Nationalrat/GE_NR_Gruene_Pasquier-Eichenberger_Isabelle.jpg","Genf","Bisher","Conseillère nationale","Carouge (GE)",50,"Grüne","Ständerat"
"Sarah Marina von Ehrenberg-Stauffer","https://164.ch/grafiken_wahlen2023/Nationalrat/AG_NR_JEVP_Von-Ehrenberg-Stauffer_Sarah-Marina.jpg","Aargau","Neu","Dipl. Pflegefachfrau HF, Teilzeitstudentin BscN","Lengnau",25,"EVP","Ständerat"
"Graziella Schaller","https://164.ch/grafiken_wahlen2023/Nationalrat/VD_NR_GLP_Schaller_Graziella.jpg","Waadt","Neu","Economiste","Lausanne",67,"GLP","Ständerat"
"Jean-Claude Favre","https://164.ch/grafiken_wahlen2023/Nationalrat/VD_NR_GLP_Favre_Jean-Claude.jpg","Waadt","Neu","Administrateur et conseiller en gestion d’entreprises","Belmont-sur-Lausanne",59,"GLP","Ständerat"
"Stefan Müller-Altermatt","https://164.ch/grafiken_wahlen2023/Nationalrat/SO_NR_MITTE_Mueller-Altermatt_Stefan.jpg","Solothurn","Bisher","Biologe, Dr. phil., Gemeindepräsident, Nationalrat","Herbetswil",47,"Mitte","Ständerat"
"Jas Stebler","https://164.ch/grafiken_wahlen2023/Nationalrat/BL_NR_JUSO_Stebler_Jas.jpg","Basel-Landschaft","Neu","Polygraf*in EFZ","Brislach",22,"SP","Ständerat"
"Severin Spillmann","https://164.ch/grafiken_wahlen2023/Nationalrat/ZH_NR_JSVP_Spillmann_Severin.jpg","Zürich","Neu","Physikstudent ETH","Zürich",22,"SVP","Ständerat"
"Catalina Gajardo Hofmann","https://164.ch/grafiken_wahlen2023/Nationalrat/ZH_NR_Gruene_Gajardo-Hofmann_Catalina.jpg","Zürich","Neu","Campaignerin","Zürich",30,"Grüne","Ständerat"
"Anny Papaux","https://164.ch/grafiken_wahlen2023/Nationalrat/FR_NR_CSP_Papaux_Anny.jpg","Freiburg","Neu","Assistante en pharmacie / Fachfrau Apotheke","Saint-Aubin",49,"CSP","Ständerat"
"Debora Wüthrich","https://164.ch/grafiken_wahlen2023/Nationalrat/SO_NR_JGLP_Wuethrich_Debora.jpg","Solothurn","Neu","Typografische Gestalterin","Solothurn",32,"GLP","Ständerat"
"Patrick Bachmann","https://164.ch/grafiken_wahlen2023/Nationalrat/BE_NR_EVP_Bachmann_Patrick.jpg","Bern","Neu","Mitglied GGR, Wohnraumvermittler Asyl BEO","Steffisburg",48,"EVP","Ständerat"
"Mia Willener","https://164.ch/grafiken_wahlen2023/Nationalrat/BE_NR_Mitte_Willener_Mia.jpg","Bern","Neu","Mitarbeiterin Kundendienst","Belp",40,"Mitte","Ständerat"
"Norbert Valley","https://164.ch/grafiken_wahlen2023/Nationalrat/FR_NR_EVP_Valley_Norbert.jpg","Freiburg","Neu","Pasteur / Pastor","Delley",68,"EVP","Ständerat"
"Lilian Grindat","https://164.ch/grafiken_wahlen2023/Nationalrat/BE_NR_GLP_Grindat_Lilian.jpg","Bern","Neu","Kommunikationsberaterin","Bern",46,"GLP","Ständerat"
"Delila Gafner","https://164.ch/grafiken_wahlen2023/Nationalrat/BE_NR_EDU_Gafner_Delila.jpg","Bern","Neu","Family-Managerin, KV-Angestellte","Homberg",38,"EDU","Ständerat"
"Tomas Nezel","https://164.ch/grafiken_wahlen2023/Nationalrat/AG_NR_GLP_Nezel_Tomas.jpg","Aargau","Neu","CEO Membrapor AG, Einwohnerrat","Nussbaumen",55,"GLP","Ständerat"
"Michèle Kottelat","https://164.ch/grafiken_wahlen2023/Nationalrat/ZG_NR_GLP_Kottelat_Michele.jpg","Zug","Neu","Business Angel, Unternehmerin","Zug",70,"GLP","Ständerat"
"Dominique Guinard","https://164.ch/grafiken_wahlen2023/Nationalrat/VS_NR_GLP_Guinard_Dominique.jpg","Wallis","Neu","Dr. en sciences ETH, Entrepreneur","Troistorrents",42,"GLP","Ständerat"
"Hans Rudolf Lüthi","https://164.ch/grafiken_wahlen2023/Nationalrat/BE_NR_Mitte_Luethi_Hans-Rudolf.jpg","Bern","Neu","Bauleiter, Gemeinderat","Koppigen",55,"Mitte","Ständerat"
"Farah Rumy","https://164.ch/grafiken_wahlen2023/Nationalrat/SO_NR_SP_Rumy_Farah.jpg","Solothurn","Neu","Berufsschullehrerin, Dipl. Pflegefachfrau HöFa I","Grenchen",32,"SP","Ständerat"
"Ursula Erni-Reusser","https://164.ch/grafiken_wahlen2023/Nationalrat/BE_NR_EVP_Erni_Ursula.jpg","Bern","Neu","a. Gemeinderätin, Dipl. Sozialmanagerin FSSM","Spiez",62,"EVP","Ständerat"
"Yvan Meuwly","https://164.ch/grafiken_wahlen2023/Nationalrat/SH_NR_SVP_Meuwly_Yvan.jpg","Schaffhausen","Neu","Agrokaufmann","Löhningen",46,"SVP","Ständerat"
"Louis Stähelin","https://164.ch/grafiken_wahlen2023/Nationalrat/SG_NR_Mitte_Staehelin_Louis.jpg","St. Gallen","Neu","Dipl.Ing.ETH, EMBA HSG, Stadtparlamentarier","St.Gallen",44,"Mitte","Ständerat"
"Lukas Zwyer","https://164.ch/grafiken_wahlen2023/Nationalrat/BE_NR_JMitte_Zwyer_Lukas.jpg","Bern","Neu","Sachbearbeiter Hauptbuch","Worb",27,"Mitte","Ständerat"
"Christine Knüsel-Bachofer","https://164.ch/grafiken_wahlen2023/Nationalrat/AG_NR_Mitte_Knuesel_Christine.jpg","Aargau","Neu","Einwohnerratspräsidentin, Energietherapeutin","Buchs",52,"Mitte","Ständerat"
"Adrien Madrigali","https://164.ch/grafiken_wahlen2023/Nationalrat/GE_NR_GLP_Madrigali_Adrien.jpg","Genf","Neu","Etudiant","Chêne-Bougeries",22,"GLP","Ständerat"
"Thomas Huwiler","https://164.ch/grafiken_wahlen2023/Nationalrat/GE_NR_Gruene_Huwiler_Thomas.jpg","Genf","Neu","Enseignant","Carouge (GE)",34,"Grüne","Ständerat"
"Marius Grämiger","https://164.ch/grafiken_wahlen2023/Nationalrat/SG_NR_JMitte_Graemiger_Marius.jpg","St. Gallen","Neu","Immobilienbewirtschafter mit eidg. FA, Stadtparlamentarier","Wil",29,"Mitte","Ständerat"
"Petra Schelbert","https://164.ch/grafiken_wahlen2023/Nationalrat/SZ_NR_JUSO_Schelbert_Petra.jpg","Schwyz","Neu","Schülerin","Brunnen",18,"SP","Ständerat"
"Tiziano Neri","https://164.ch/grafiken_wahlen2023/Nationalrat/BL_NR_JSVP_Neri_Tiziano.jpg","Basel-Landschaft","Neu","Logistiker in Ausbildung","Zwingen",19,"SVP","Ständerat"
"Miro Barp","https://164.ch/grafiken_wahlen2023/Nationalrat/AG_NR_SVP_Barp_Miro.jpg","Aargau","Neu","Dozent, Leiter Sicherheitsdienst, Psych. Pfl. HF","Brugg",52,"SVP","Ständerat"
"Linda Bruggmann","https://164.ch/grafiken_wahlen2023/Nationalrat/ZH_NR_Gruene_Bruggmann_Linda.jpg","Zürich","Neu","Unternehmerin","Hinwil",39,"Grüne","Ständerat"
"Matthias Baumberger","https://164.ch/grafiken_wahlen2023/Nationalrat/ZH_NR_Mitte_Baumberger_Matthias.jpg","Zürich","Neu","Politökonom, Verbandsdirektor","Winterthur",45,"Mitte","Ständerat"
"Pascal Bassu","https://164.ch/grafiken_wahlen2023/Nationalrat/ZH_NR_SP_Bassu_Pascal.jpg","Zürich","Neu","Escalation Manager, Stadtpräsident","Wetzikon",54,"SP","Ständerat"
"Roger Wiederkehr","https://164.ch/grafiken_wahlen2023/Nationalrat/ZG_NR_Mitte_Wiederkehr_Roger.jpg","Zug","Neu","Geschäftsführer eines Ingenieurbüros","Rotkreuz",57,"Mitte","Ständerat"
"Pascale Leuch","https://164.ch/grafiken_wahlen2023/Nationalrat/TG_NR_EVP_Leuch_Pascale.jpg","Thurgau","Neu","Sozialarbeiterin BSc, Studentin Master Organisationskommunikation","Kreuzlingen",28,"EVP","Ständerat"
"Naemi Dimmeler","https://164.ch/grafiken_wahlen2023/Nationalrat/ZH_NR_JSVP_Dimmeler_Naemi.jpg","Zürich","Neu","Kauffrau","Ellikon an der Thur",23,"SVP","Ständerat"
"Vincenzo Landolfo","https://164.ch/grafiken_wahlen2023/Nationalrat/AG_NR_Mitte_Landolfo_Vincenzo.jpg","Aargau","Neu","International Sales Manager","Birrwil",55,"Mitte","Ständerat"
"Kati Pflugshaupt","https://164.ch/grafiken_wahlen2023/Nationalrat/ZH_NR_EVP_Pflugshaupt_Kati.jpg","Zürich","Neu","Betriebsleiterin","Zürich",52,"EVP","Ständerat"
"Selina Friedli","https://164.ch/grafiken_wahlen2023/Nationalrat/AG_NR_GLP_Friedli_Selina.jpg","Aargau","Neu","BSc Life Science Technologies, Project Accountant","Oberflachs",30,"GLP","Ständerat"
"Vanessa Pfäffli","https://164.ch/grafiken_wahlen2023/Nationalrat/BE_NR_JMitte_Pfaeffli_Vanessa.jpg","Bern","Neu","Produktionsassistentin","Biel/Bienne",23,"Mitte","Ständerat"
"Gerhard Widmer","https://164.ch/grafiken_wahlen2023/Nationalrat/ZG_NR_SVP_Widmer_Gerhard.jpg","Zug","Neu","Landwirt","Cham",62,"SVP","Ständerat"
"Luca Flubacher","https://164.ch/grafiken_wahlen2023/Nationalrat/BL_NR_JSVP_Flubacher_Luca.jpg","Basel-Landschaft","Neu","Student der Geschichte und der Politikwissenschaften","Birsfelden",24,"SVP","Ständerat"
"Alexandra Marie Leake","https://164.ch/grafiken_wahlen2023/Nationalrat/GR_NR_JF_Leake_Alexandra.jpg","Graubünden","Neu","Gymnasiastin","Küblis",19,"FDP","Ständerat"
